

gen best mean std
0 11.911766 -3.77126 5.136394
1 19.842971 -1.629112 6.248641
2 29.899932 3.557647 8.407451
3 43.353432 11.742991 9.483517
4 43.353432 17.218497 8.727826
5 51.342542 23.451623 6.744455
6 51.342542 26.39934 4.735103
7 54.99308 27.402626 5.945948
8 54.99308 28.082736 6.766811
9 54.99308 28.77524 6.734401
10 54.99308 29.302817 7.198437
11 54.99308 30.171977 7.550131
12 54.99308 31.022864 7.755096
13 54.99308 32.308749 8.114537
14 54.99308 33.706742 8.19166
15 54.99308 34.9964 7.951027
16 54.99308 36.000395 7.596325
17 55.737003 37.353485 7.450908
18 55.737003 37.936791 7.353987
19 55.737003 38.509533 7.116288
20 60.842416 39.699406 7.402922
21 67.919809 40.433917 7.881986
22 67.919809 40.684379 7.737246
23 67.919809 41.657609 7.808071
24 67.919809 41.64967 7.782566
25 67.919809 42.437688 7.435287
26 67.919809 42.903094 8.45257
27 67.919809 43.986304 8.193391
28 67.919809 44.38009 7.995449
29 67.919809 44.673502 7.606587
30 67.919809 44.937728 7.692134
31 67.919809 45.770699 6.98854
32 67.919809 46.240528 7.044077
33 67.919809 46.548646 7.002549
34 67.919809 47.020071 7.319913
35 67.919809 46.596369 7.975211
36 67.919809 47.085319 7.628304
37 67.919809 47.346451 7.508625
38 67.919809 47.007845 8.487067
39 67.919809 48.044388 7.438844
40 67.919809 47.916749 8.192228
41 67.919809 47.769156 8.546484
42 67.919809 48.683414 7.688353
43 67.919809 48.004836 9.398361
44 67.919809 49.179043 7.678675
45 67.919809 49.177352 8.256409
46 67.919809 49.990422 7.231667
47 67.919809 50.385559 6.73436
48 67.919809 50.163486 7.334456
49 67.919809 50.882475 7.065447
50 67.919809 50.346864 7.987601
51 71.869684 51.383151 7.50094
52 71.869684 51.344419 8.241343
53 71.869684 51.194812 8.862623
54 71.869684 51.759925 9.007008
55 71.869684 51.490999 9.097394
56 71.869684 52.099148 8.625929
57 71.869684 51.568808 9.542127
58 71.869684 51.43487 9.62858
59 71.869684 51.719694 9.056984
60 71.869684 52.663306 8.068616
61 71.869684 53.016454 8.024004
62 71.869684 53.242053 8.04416
63 71.869684 52.992096 8.857947
64 71.869684 52.982715 8.936999
65 71.869684 54.037718 7.739797
66 71.869684 52.982165 9.458992
67 75.066499 53.556064 10.414536
68 75.066499 54.392257 9.548878
69 75.066499 54.549876 10.011992
70 75.066499 54.718036 10.025585
71 89.180893 54.157521 12.296595
72 89.180893 54.981833 11.402679
73 89.180893 55.655758 10.112012
74 89.180893 56.17724 9.316231
75 89.180893 56.469481 10.568897
76 89.180893 57.800113 9.909101
77 89.180893 57.694517 10.814067
78 89.180893 59.56602 9.814345
79 89.180893 59.701566 9.515597
80 89.180893 59.247628 10.715257
81 89.180893 59.615934 10.329924
82 89.180893 58.895575 11.762669
83 89.180893 59.00552 11.666529
84 89.180893 59.977903 11.085076
85 89.180893 60.418576 10.708638
86 89.180893 60.464573 11.718076
87 89.180893 60.697834 12.276232
88 89.180893 62.26011 10.436606
89 89.180893 62.330794 10.493
90 89.180893 62.557369 11.282394
91 89.180893 63.183706 10.597379
92 89.180893 63.517103 10.423265
93 89.180893 64.065846 9.769643
94 89.180893 63.973187 9.774264
95 89.180893 63.209511 10.954249
96 89.180893 64.246925 10.20044
97 89.180893 63.512523 11.550717
98 89.180893 63.973354 11.708025
99 89.180893 63.318232 12.824836

gen best mean std
99 89.180893 63.318232 12.824836

gen best mean std
99 89.180893 63.318232 12.824836
