gen best mean std
0 21.260097 -4.281861 6.132452
1 28.350079 -0.138536 8.776072
2 32.241209 4.889072 11.447925
3 32.339172 6.162776 13.580500
4 39.202030 8.737614 12.601787
5 48.205263 11.083665 15.236325
6 48.205263 15.255347 13.721464
7 48.205263 13.339688 15.330203
8 48.528412 15.490436 15.224329
9 48.528412 14.804274 15.609390
10 48.528412 15.937870 15.259890
11 48.528412 13.465273 16.137392
12 48.528412 13.785873 16.644318
13 48.528412 14.715677 16.546732
14 48.528412 13.542015 16.339935
15 48.528412 13.037112 16.223417
16 48.528412 16.385639 16.150376
17 48.528412 16.862401 15.591833
18 49.309501 16.155975 16.969062
19 49.309501 14.780722 17.004006
20 49.309501 14.208601 16.646278
21 54.221955 15.941513 17.699315
22 54.558306 17.806553 18.039442
23 54.558306 14.256576 17.511770
24 61.238186 16.626623 18.116363
25 61.238186 16.581826 17.775195
26 61.238186 16.495559 18.275473
27 61.238186 16.846187 18.861451
28 61.238186 16.661455 18.001835
29 61.238186 14.566654 18.380803
30 61.238186 17.166775 18.271385
31 61.238186 16.049722 17.525569
32 61.238186 17.498672 18.781979
33 61.238186 16.697272 18.879091
34 61.238186 17.994996 18.332969
35 61.238186 19.230881 16.693765
36 61.238186 17.815958 18.652750
37 61.238186 16.528654 18.785132
38 61.238186 17.590379 19.420526
39 61.238186 18.138118 17.630375
40 61.238186 17.930534 18.050842
41 61.238186 18.584487 17.990956
42 61.238186 17.064487 18.312054
43 61.238186 16.088409 18.603597
44 61.238186 20.805385 17.171011
45 61.238186 17.187875 19.272180
46 61.238186 18.167702 18.855660
47 61.238186 14.952483 19.102418
48 61.238186 20.854269 18.830042
49 61.238186 16.807323 18.451476
50 61.238186 18.385656 18.317148
51 61.238186 17.832406 18.320308
52 61.238186 15.515814 19.407385
53 61.238186 18.828987 19.220796
54 61.238186 14.218879 18.270901
55 61.238186 14.385671 17.272189
56 61.238186 18.521372 16.965416
57 61.238186 16.579018 18.518095
58 61.238186 18.759886 16.461273
59 61.238186 18.781435 16.853748
60 61.238186 16.219539 18.087221
61 61.238186 15.063427 17.024697
62 61.238186 16.623898 17.485428
63 61.274029 16.131660 17.640320
64 61.274029 17.768668 18.016770
65 61.274029 19.624422 17.449842
66 61.274029 14.842207 18.108663
67 61.274029 15.453292 18.609932
68 61.274029 18.485442 18.318407
69 73.616177 20.209913 18.226127
70 73.616177 18.715796 18.373957
71 73.616177 16.430993 19.140342
72 73.616177 21.752642 18.658071
73 73.616177 22.001239 19.404728
74 73.616177 18.431032 19.993713
75 73.616177 13.918336 19.155355
76 73.616177 17.234601 17.565130
77 73.616177 19.716614 18.979023
78 73.616177 17.237874 19.750418
79 73.616177 17.997409 19.884027
80 73.616177 21.442639 18.633576
81 73.616177 18.587677 19.878719
82 73.616177 18.991087 17.827710
83 73.616177 23.205393 19.250002
84 73.616177 21.474986 20.056367
85 73.616177 21.854163 20.201105
86 73.616177 18.345448 19.332123
87 73.616177 16.815773 20.782071
88 73.616177 15.956167 18.732128
89 73.616177 18.352755 19.213169
90 73.616177 18.174193 19.917441
91 73.616177 21.071174 20.225131
92 73.616177 19.147072 20.626218
93 73.616177 17.397634 19.570711
94 73.616177 18.494978 18.813375
95 73.616177 22.775998 19.365344
96 73.616177 20.147441 18.824163
97 73.616177 17.453624 20.322876
98 73.616177 22.761740 19.171871
99 73.616177 19.681142 20.582258
