

gen best mean std
0 17.670014 -5.452211 4.885251
1 20.016963 -2.944379 6.327368
2 27.946743 -0.903614 7.302633
3 27.946743 2.309756 7.900452
4 27.946743 6.06279 7.020706
5 27.946743 10.313542 6.097961
6 33.615826 15.046376 5.036336
7 33.615826 16.675254 4.632222
8 35.03122 18.569672 5.061952
9 35.03122 20.021205 4.910574
10 35.03122 21.232948 4.528479
11 35.03122 22.604362 4.288875
12 37.208269 24.160486 4.303469
13 37.208269 25.376784 4.185728
14 37.208269 26.742172 3.952166
15 37.208269 27.429926 3.458675
16 37.208269 27.975677 3.561071
17 37.208269 28.239641 4.012696
18 37.208269 28.705316 3.50496
19 37.208269 28.787446 3.841311
20 37.208269 29.079167 3.749548
21 39.558259 29.905696 3.191791
22 39.558259 30.132907 3.208902
23 39.558259 29.96858 3.860464
24 39.558259 30.359635 3.662198
25 39.558259 30.239375 3.721141
26 39.558259 30.212168 3.737634
27 39.558259 31.004568 3.045102
28 39.558259 30.851753 3.59913
29 39.558259 30.386564 4.600667
30 39.558259 30.941996 3.131727
31 50.429909 31.311591 3.545809
32 50.429909 31.320495 3.664461
33 50.429909 31.601888 3.406621
34 50.429909 31.844974 3.186742
35 50.429909 31.860502 3.608906
36 50.429909 31.630901 3.859184
37 50.429909 31.744153 4.018846
38 50.429909 32.20692 3.457983
39 50.429909 31.996326 3.964165
40 50.429909 32.204592 3.664131
41 50.429909 32.192793 3.888985
42 50.429909 32.486724 3.531433
43 50.429909 32.012857 4.689339
44 50.429909 32.309861 4.210757
45 50.429909 32.284607 4.273256
46 50.429909 32.524035 4.229183
47 50.429909 32.56647 4.395865
48 50.429909 32.754276 4.620761
49 50.429909 32.650342 4.917725
50 50.429909 33.067162 4.463168
51 50.429909 32.951179 5.0412
52 50.429909 32.671865 5.618597
53 50.429909 32.691093 5.353201
54 50.429909 32.178285 5.991024
55 50.429909 32.78953 5.743728
56 50.429909 33.505199 5.130099
57 50.429909 33.870601 4.87164
58 50.429909 33.386323 5.718933
59 50.429909 33.462295 6.341802
60 50.429909 34.341905 4.925238
61 50.429909 34.611433 4.883975
62 50.429909 34.716536 4.646449
63 50.429909 34.557953 5.170131
64 50.429909 34.812081 4.694047
65 50.429909 35.370597 3.943951
66 50.429909 34.85492 5.052687
67 50.429909 35.119449 4.693747
68 50.429909 35.001019 5.29004
69 50.429909 34.394913 6.120053
70 50.429909 34.836207 5.354043
71 50.429909 34.961783 5.269332
72 50.429909 34.832313 5.706389
73 50.429909 34.986257 5.968638
74 50.429909 35.471453 5.24475
75 50.429909 35.33585 5.75721
76 50.429909 36.189202 4.688492
77 50.429909 35.933717 4.899949
78 50.429909 36.120881 4.906077
79 50.429909 36.228613 4.680514
80 50.429909 35.824203 5.218765
81 50.429909 36.712287 4.125392
82 50.429909 37.278727 3.481583
83 50.429909 37.164805 4.311437
84 50.429909 37.164619 4.367792
85 50.429909 36.668796 5.07981
86 50.429909 36.869247 4.688031
87 50.429909 37.051755 4.370575
88 50.429909 37.112965 4.706757
89 50.429909 37.143399 4.720638
90 50.429909 36.54708 5.802011
91 50.429909 36.656575 5.259242
92 50.429909 36.943216 4.667278
93 50.429909 37.293927 4.240017
94 50.429909 37.793707 3.758876
95 50.429909 37.646985 4.338195
96 50.429909 37.544259 4.110248
97 50.429909 37.411865 4.513448
98 50.429909 37.751561 4.054152
99 50.429909 37.769911 4.353767

gen best mean std
99 50.429909 37.769911 4.353767

gen best mean std
99 50.429909 37.769911 4.353767
