gen best mean std
0 11.926984 -5.237566 4.280898
1 44.880189 -0.787389 9.940432
2 45.180672 5.046380 12.155446
3 55.298365 10.253506 14.150773
4 57.206703 11.828819 16.198315
5 57.206703 9.493731 15.055488
6 57.206703 14.237486 14.331990
7 57.206703 12.295883 15.960570
8 57.206703 16.226647 14.740446
9 60.715411 16.700118 16.615821
10 64.552569 18.640845 14.735988
11 74.005771 16.900924 17.999573
12 75.195250 18.735953 19.418357
13 75.195250 22.955997 17.247295
14 75.195250 19.777873 17.958937
15 75.195250 19.087936 18.284521
16 75.195250 21.798514 18.233621
17 75.195250 21.816699 20.366742
18 79.054821 20.846438 18.665444
19 79.054821 22.336028 19.100650
20 79.054821 24.984798 19.941842
21 79.054821 25.444657 17.338190
22 79.054821 21.288780 18.648732
23 79.054821 18.946507 20.268380
24 79.054821 20.534795 19.113744
25 79.054821 20.266974 19.195425
26 79.054821 23.109075 20.010934
27 79.054821 22.885162 21.105673
28 79.054821 21.649630 21.122260
29 79.054821 20.528297 21.100337
30 79.054821 23.126574 21.637043
31 79.054821 20.868296 20.197885
32 79.054821 23.939997 18.810699
33 79.054821 21.840204 19.826807
34 79.054821 19.738069 19.469347
35 79.054821 20.505401 20.114079
36 79.054821 19.729521 21.022412
37 79.054821 22.264521 20.838069
38 79.054821 17.902908 19.661742
39 79.054821 24.333066 19.003951
40 79.054821 22.839739 20.534438
41 79.054821 19.918554 20.958815
42 79.054821 18.735254 21.118725
43 79.054821 20.122539 21.611386
44 79.054821 23.818113 20.987022
45 79.054821 21.187300 20.914107
46 79.054821 18.314464 20.545994
47 79.054821 20.530604 20.643560
48 79.054821 20.133476 19.931448
49 79.054821 20.745460 19.295059
50 79.054821 19.372317 19.635422
51 79.054821 17.673610 19.778493
52 79.054821 20.453711 19.564809
53 79.054821 20.283637 21.034847
54 79.054821 20.143609 19.981654
55 79.054821 18.304106 20.474925
56 79.054821 18.839141 20.620320
57 79.054821 18.574457 20.757074
58 79.054821 21.364665 20.184705
59 79.054821 17.544374 22.225467
60 79.054821 20.643760 20.009864
61 79.054821 17.629172 20.875848
62 79.054821 21.717554 19.027156
63 79.054821 22.670789 20.500138
64 79.054821 21.934508 18.754930
65 79.054821 21.836357 19.934120
66 79.054821 17.969874 19.930060
67 79.054821 23.832929 19.199582
68 79.054821 22.404471 20.017240
69 79.054821 18.906236 19.925207
70 79.054821 18.268864 21.224708
71 79.054821 20.876158 19.969221
72 79.054821 19.428428 21.424159
73 79.054821 23.536838 20.108120
74 79.054821 19.403581 20.857508
75 79.054821 18.353739 19.422693
76 79.054821 20.423640 20.943134
77 79.054821 16.451769 21.501623
78 79.054821 20.734006 18.753930
79 79.054821 17.179129 20.612380
80 79.054821 21.327810 20.109527
81 79.054821 24.420819 19.941782
82 79.054821 23.325154 21.551038
83 79.054821 20.556463 21.090195
84 79.054821 20.311123 21.330513
85 79.054821 21.676117 22.371428
86 79.054821 21.294527 21.621617
87 79.054821 22.164826 21.706638
88 79.054821 21.886522 21.625883
89 79.054821 23.476089 19.877162
90 79.054821 22.626638 20.395222
91 79.054821 19.085707 22.143816
92 79.054821 20.560527 20.159109
93 79.054821 21.678915 20.988390
94 79.054821 19.758369 22.294812
95 79.054821 21.077550 20.852977
96 79.054821 18.206504 21.637839
97 79.054821 18.106761 22.324391
98 79.054821 18.850589 22.523447
99 79.054821 24.815310 20.994589
