gen best mean std
0 24.092944 -4.417177 6.014926
1 37.516408 0.215802 10.711591
2 37.516408 4.461002 13.287459
3 43.017108 5.952682 13.497150
4 45.950362 8.366265 14.396590
5 47.906515 11.871587 14.856659
6 58.222513 12.132310 16.017878
7 58.222513 14.185412 14.661063
8 68.347253 16.433873 14.984972
9 68.347253 14.836703 16.670439
10 68.347253 16.137656 15.850758
11 68.347253 18.058893 16.764197
12 68.347253 15.305902 18.160300
13 68.347253 16.724685 15.666204
14 68.863624 15.456044 17.893360
15 68.863624 16.998385 18.508133
16 68.863624 15.197947 16.743247
17 68.863624 20.110734 17.957093
18 68.863624 17.331092 19.461966
19 68.863624 13.592624 18.404706
20 68.863624 15.928531 17.858296
21 68.863624 11.864980 18.543854
22 68.863624 14.566665 19.028929
23 68.863624 13.369720 20.100645
24 68.863624 17.945337 17.848786
25 68.863624 17.318893 19.169588
26 68.863624 17.953739 18.017126
27 68.863624 17.132562 19.814750
28 68.863624 18.304127 19.432118
29 68.863624 17.883125 20.165771
30 68.863624 18.807774 19.062227
31 68.863624 15.001003 18.398873
32 68.863624 16.997022 20.245807
33 68.863624 17.582463 20.075205
34 69.751805 12.871534 20.638371
35 69.751805 13.816036 20.280493
36 69.751805 15.040723 21.077436
37 69.751805 15.628235 21.067789
38 69.751805 14.774077 20.659099
39 69.751805 13.829480 21.158532
40 69.751805 15.878246 20.589119
41 69.751805 14.795038 19.871656
42 69.751805 12.628256 19.857750
43 69.751805 14.064573 20.737373
44 69.751805 15.030710 20.530252
45 69.751805 15.490842 21.069015
46 69.958892 15.244050 21.275349
47 69.958892 16.514253 20.072297
48 69.958892 19.128432 19.728527
49 69.958892 18.574597 20.903473
50 69.958892 20.031780 20.326094
51 69.958892 18.518680 20.923104
52 69.958892 17.273755 20.686983
53 69.958892 19.876536 21.463522
54 69.958892 17.258249 21.741819
55 69.958892 21.226830 19.944593
56 69.958892 17.427837 19.879566
57 69.958892 16.713512 20.130801
58 69.958892 16.248028 19.400323
59 69.958892 15.542777 20.726558
60 69.958892 16.771074 20.116551
61 69.958892 15.618623 19.950627
62 75.346705 19.291239 21.859033
63 75.346705 17.960567 21.627615
64 75.346705 18.308730 23.100988
65 75.346705 17.428595 22.776072
66 75.346705 20.596302 22.468482
67 75.346705 18.501541 20.037691
68 75.346705 14.898552 21.301590
69 75.346705 18.697382 19.230503
70 75.346705 17.080825 19.977514
71 75.346705 18.458759 21.201251
72 75.346705 19.154739 20.092367
73 75.346705 18.084531 19.728617
74 75.346705 18.774803 18.673360
75 75.346705 16.974390 19.810702
76 75.346705 17.056939 19.801648
77 75.346705 17.047581 20.352683
78 75.346705 19.153783 19.863605
79 75.346705 16.375398 21.427845
80 75.346705 18.298449 20.080633
81 75.346705 15.631074 19.512668
82 75.346705 17.920162 20.168025
83 75.346705 18.785540 20.875977
84 75.346705 16.854423 21.615782
85 75.346705 17.460708 20.080114
86 75.346705 15.966633 20.715329
87 75.346705 12.299573 19.051372
88 75.346705 15.365512 19.056291
89 75.346705 17.886161 18.986642
90 75.346705 14.694903 19.903812
91 75.346705 17.401007 19.727956
92 75.346705 16.976823 20.251053
93 75.346705 17.373140 19.642550
94 75.346705 17.640450 20.065010
95 75.346705 20.368698 19.920869
96 75.346705 15.375489 21.862132
97 75.346705 20.676478 20.712718
98 75.346705 15.818807 20.255943
99 75.346705 19.437527 20.913865
