gen best mean std
0 15.918734 -5.154196 5.198164
1 31.538408 -1.800494 8.292696
2 31.538408 1.793377 9.909459
3 31.715604 3.343442 10.008099
4 31.715604 7.362256 10.679005
5 31.715604 5.760146 11.516775
6 32.770144 10.029395 10.954724
7 46.238212 9.692319 12.083754
8 46.238212 8.087157 11.703783
9 46.238212 8.028039 12.665848
10 46.238212 9.441348 12.404873
11 46.238212 10.855065 11.828226
12 46.238212 11.057651 12.321492
13 46.238212 10.578296 12.756190
14 46.238212 12.547297 11.259579
15 46.238212 12.284561 12.225933
16 46.238212 10.790391 12.539635
17 46.238212 9.362594 12.240261
18 46.238212 11.146467 12.232790
19 46.238212 8.163504 12.483542
20 46.238212 8.703836 10.779130
21 46.238212 8.582592 12.167411
22 46.238212 8.304971 11.933851
23 46.238212 8.393469 12.243760
24 46.238212 8.881199 12.537671
25 46.238212 9.720348 12.928049
26 46.238212 11.333641 12.378673
27 46.238212 9.769008 12.744905
28 46.238212 10.211823 11.961920
29 46.238212 11.301904 11.565812
30 46.238212 10.000052 12.164749
31 46.238212 8.268855 13.417220
32 46.238212 9.731451 13.272923
33 46.238212 11.645805 11.616182
34 46.238212 11.177152 12.452142
35 46.238212 9.484431 12.300230
36 46.238212 9.825489 11.441622
37 46.238212 8.828222 11.574766
38 46.238212 8.913306 12.471887
39 46.238212 9.584452 13.089244
40 46.238212 7.063780 13.148997
41 46.238212 11.069881 13.251769
42 46.238212 8.140955 12.770261
43 46.238212 11.634995 12.502277
44 46.238212 8.641147 12.970259
45 46.238212 8.561757 13.158209
46 46.238212 6.836658 11.878280
47 46.238212 10.192874 12.524885
48 46.238212 9.789812 12.720825
49 46.238212 9.423315 12.308900
50 46.238212 9.998866 11.755575
51 46.238212 9.936183 12.604693
52 46.238212 11.517094 12.136742
53 46.238212 10.314904 12.754150
54 46.238212 7.979103 12.341926
55 46.238212 9.797985 12.617319
56 46.238212 10.358409 11.652418
57 46.238212 6.868603 12.092670
58 46.238212 10.856166 12.670989
59 46.238212 9.990457 11.505074
60 46.238212 9.653703 12.773740
61 46.238212 11.151808 11.856491
62 46.238212 9.853762 11.408251
63 46.238212 9.506173 12.363349
64 46.238212 8.969361 12.242560
65 46.238212 11.040919 12.563979
66 46.238212 10.599345 13.349637
67 46.238212 13.493712 12.801096
68 46.238212 8.961859 12.845943
69 46.238212 9.668460 12.784327
70 46.238212 12.581431 11.896130
71 46.238212 8.942207 12.591642
72 46.238212 9.609066 13.226978
73 46.238212 8.549105 11.985794
74 46.238212 10.488832 12.712252
75 46.238212 9.261763 12.791793
76 46.238212 9.651270 12.453060
77 46.238212 8.453982 12.727835
78 46.238212 11.489189 12.675385
79 46.238212 9.522775 13.156688
80 46.238212 12.397379 12.006186
81 46.238212 12.661176 12.459955
82 46.238212 12.188445 12.206572
83 46.238212 9.974817 12.753757
84 46.238212 12.677428 12.494891
85 46.238212 12.819181 13.306362
86 46.238212 10.322337 13.995101
87 46.238212 10.571857 13.604984
88 46.238212 8.416221 13.618614
89 46.238212 9.626736 14.144664
90 46.238212 11.334150 13.934037
91 46.238212 12.573387 12.586641
92 46.238212 14.283799 12.239522
93 46.238212 8.393455 13.666886
94 46.238212 8.723944 14.233552
95 46.238212 10.401461 13.639874
96 46.238212 11.604896 12.844413
97 46.238212 10.469503 14.626253
98 46.238212 9.456883 14.394953
99 46.238212 9.986641 14.911991
