

gen best mean std
0 24.989219 -4.197571 5.262701
1 24.989219 -2.166079 6.968177
2 24.989219 0.37597 7.948286
3 26.28264 5.448248 9.193183
4 26.437816 12.275677 6.941642
5 43.142296 16.049592 6.74959
6 43.142296 18.619736 7.039111
7 43.142296 21.832897 6.270405
8 57.227654 25.086063 5.383357
9 57.227654 25.857355 4.934469
10 57.227654 27.360993 5.920418
11 57.227654 27.725764 7.081639
12 57.227654 28.481757 7.255424
13 57.227654 29.089608 6.968447
14 57.227654 29.611563 7.045496
15 57.227654 29.879226 7.111958
16 57.227654 30.345167 7.098199
17 79.575954 31.431605 8.767254
18 79.575954 32.68939 8.840593
19 79.575954 34.021554 8.892228
20 79.575954 35.915748 8.991647
21 79.575954 36.795913 8.494828
22 79.575954 37.800965 8.13312
23 79.575954 38.69757 8.250758
24 79.575954 39.232699 8.261636
25 79.575954 39.649458 8.145663
26 79.575954 40.896821 7.698108
27 79.575954 41.781599 7.933604
28 79.575954 43.220688 8.205894
29 79.575954 43.5807 8.337105
30 79.575954 44.650087 8.100254
31 79.575954 44.990821 8.375675
32 79.575954 45.444982 8.091153
33 79.575954 45.560436 9.063313
34 79.575954 47.025668 7.641366
35 79.575954 46.993107 7.658861
36 79.575954 47.66916 7.447946
37 79.575954 47.297297 8.256015
38 79.575954 47.606051 7.812605
39 79.82373 47.881929 8.573781
40 79.82373 49.216083 8.286375
41 79.82373 49.391672 8.219463
42 79.82373 49.313443 8.616516
43 79.82373 48.878772 8.888305
44 79.82373 48.948249 9.93581
45 79.82373 49.063596 10.365789
46 79.82373 49.71974 9.624152
47 79.82373 49.50567 9.827061
48 79.82373 49.997775 10.136878
49 79.82373 49.963581 10.891207
50 79.82373 51.492169 9.797023
51 79.82373 51.490207 9.469083
52 79.82373 49.987708 11.708787
53 79.82373 50.284277 11.540718
54 79.82373 51.364986 10.268835
55 79.82373 51.334399 10.861249
56 79.82373 53.141689 10.254322
57 79.82373 52.355985 11.560219
58 79.82373 53.193729 10.995521
59 79.82373 53.711408 10.474697
60 79.82373 53.443469 11.313298
61 79.82373 54.349105 10.580633
62 79.82373 54.202932 11.507762
63 79.82373 54.87163 10.230045
64 79.82373 55.035343 10.079915
65 79.82373 54.744406 10.8078
66 79.82373 54.6602 10.913145
67 79.82373 54.475461 11.451947
68 79.82373 55.539537 10.254282
69 79.82373 54.718547 11.758899
70 79.82373 55.439892 10.589139
71 79.82373 54.943158 11.359338
72 79.82373 54.30128 12.739548
73 79.82373 54.35853 12.243785
74 79.82373 55.170921 11.705112
75 79.82373 56.23807 10.777579
76 79.82373 55.611755 11.851904
77 79.82373 55.082798 12.660462
78 79.82373 55.357908 12.353082
79 79.82373 55.259321 12.276329
80 79.82373 54.268862 13.355022
81 79.82373 54.745517 13.253944
82 79.82373 55.208611 13.096736
83 79.82373 55.944545 12.202925
84 79.82373 56.714242 11.352327
85 79.82373 56.811056 11.875629
86 79.82373 56.02721 13.160608
87 79.82373 55.990441 12.92287
88 79.82373 55.438852 13.124193
89 79.82373 55.637571 13.729336
90 79.82373 57.02084 12.470684
91 79.82373 57.849714 11.706815
92 79.82373 58.709616 11.111807
93 79.82373 59.377825 10.971027
94 79.82373 58.800313 11.879627
95 79.82373 58.581653 12.23233
96 79.82373 59.200579 11.133219
97 79.82373 59.515188 10.831585
98 80.322712 60.247354 10.916699
99 80.322712 59.81345 12.318673

gen best mean std
99 80.322712 59.81345 12.318673

gen best mean std
99 80.322712 59.81345 12.318673
