

gen best mean std
0 16.64312 -5.307351 5.10103
1 16.64312 -1.872471 6.299665
2 20.716029 2.322524 7.350449
3 23.234568 9.166156 6.858566
4 27.780661 13.55137 4.583064
5 31.202669 15.657226 4.209836
6 31.202669 16.521357 3.983462
7 31.202669 17.56622 4.475867
8 31.202669 18.539635 4.455385
9 31.202669 19.913583 4.306877
10 32.660687 21.584677 4.609827
11 32.660687 22.536349 4.132745
12 32.660687 23.847893 3.884589
13 32.660687 25.087257 3.374733
14 32.660687 25.463113 3.877963
15 32.660687 26.568322 2.956436
16 36.789485 27.503371 2.775869
17 36.789485 27.826609 3.07452
18 36.789485 28.332228 2.786209
19 36.789485 28.589342 2.568534
20 37.372633 28.917841 2.753018
21 37.372633 29.084551 2.964888
22 37.372633 29.389237 2.743407
23 37.372633 29.491468 2.559026
24 37.372633 29.721358 2.547653
25 37.372633 29.909195 2.37938
26 37.372633 30.130735 2.379853
27 37.372633 30.360842 2.157457
28 37.372633 30.420437 2.65982
29 37.372633 30.800979 1.871429
30 37.372633 30.716244 2.105928
31 37.372633 30.844408 2.121076
32 37.514569 30.811266 2.703227
33 37.514569 30.960543 2.825342
34 37.514569 31.300779 1.960195
35 37.514569 31.210209 2.456474
36 37.514569 31.145684 2.789774
37 37.514569 31.050513 3.013215
38 37.514569 31.514645 1.98494
39 37.514569 31.528482 2.024564
40 37.514569 31.580195 1.949309
41 37.514569 31.540338 2.166562
42 37.514569 31.422227 2.427876
43 37.514569 31.549533 2.438445
44 37.514569 31.642115 2.104841
45 37.514569 31.476083 2.268143
46 37.514569 31.471664 2.663302
47 37.514569 31.923302 1.855543
48 37.514569 31.921136 1.834551
49 37.514569 31.929605 1.809753
50 37.514569 31.859661 2.48806
51 37.708282 31.82822 2.42767
52 37.708282 31.902788 2.395879
53 37.708282 31.991543 2.21477
54 37.708282 31.996092 2.182808
55 37.708282 31.896054 2.523377
56 37.708282 31.563303 2.917915
57 37.708282 31.889733 2.379678
58 37.708282 31.928454 2.344694
59 37.708282 32.046732 2.2853
60 37.708282 32.09113 2.324986
61 37.708282 32.202428 2.196655
62 37.708282 32.246665 2.053586
63 37.708282 32.143264 2.395156
64 37.708282 32.386086 2.237662
65 37.708282 32.421202 2.15269
66 37.708282 32.29905 2.36781
67 37.708282 32.108795 2.654424
68 37.708282 32.234862 2.731832
69 37.708282 32.406102 2.038734
70 37.708282 32.373608 2.464043
71 37.708282 32.584495 2.147936
72 37.708282 32.562181 2.188261
73 37.708282 32.529704 2.228931
74 37.708282 32.756403 1.939334
75 37.708282 32.50658 2.483634
76 37.708282 32.734905 2.078143
77 37.708282 32.815268 2.099026
78 37.708282 32.700182 2.304412
79 37.708282 32.655848 2.398917
80 37.708282 32.817613 2.163299
81 37.708282 32.915344 2.0792
82 37.708282 33.092945 1.994893
83 37.708282 32.841476 2.316388
84 37.708282 32.962502 2.380964
85 37.708282 32.948545 2.862757
86 37.708282 32.847983 2.606976
87 37.708282 33.101249 2.211867
88 37.708282 33.094499 2.710075
89 37.708282 33.087892 2.640264
90 39.884361 33.269113 2.535298
91 39.884361 33.401109 2.394583
92 39.884361 33.55323 2.303583
93 39.884361 33.573128 2.274712
94 40.547471 33.690667 2.735483
95 40.547471 33.930059 2.320575
96 40.547471 33.761989 2.485954
97 40.547471 33.787689 2.553846
98 40.547471 33.72194 2.864599
99 40.547471 34.118214 2.6312

gen best mean std
99 40.547471 34.118214 2.6312

gen best mean std
99 40.547471 34.118214 2.6312
