gen best mean std
0 20.770297 -4.176229 5.130569
1 20.770297 -1.930727 7.368298
2 38.955023 5.309310 11.595252
3 43.252156 8.933127 13.261624
4 43.252156 6.845648 13.547291
5 43.252156 15.568347 13.915608
6 43.252156 15.913248 13.744793
7 66.128182 18.638734 13.983723
8 66.128182 13.696653 13.648263
9 66.128182 15.054352 14.575941
10 66.128182 14.520901 15.275748
11 66.128182 17.107331 15.152742
12 66.128182 20.130988 14.393094
13 66.128182 18.694615 15.224878
14 66.128182 13.844091 15.154002
15 66.128182 18.770710 15.055342
16 66.128182 17.074152 17.385663
17 66.128182 14.834968 16.681297
18 66.128182 14.759438 17.499429
19 66.128182 20.055033 17.183060
20 66.128182 18.545716 17.884225
21 66.128182 20.936832 15.588585
22 66.128182 22.301646 16.407332
23 66.128182 20.968451 15.324714
24 66.128182 18.532032 16.577025
25 66.128182 20.722507 16.792389
26 66.128182 23.671627 16.610639
27 66.128182 23.794185 16.448161
28 66.128182 20.864040 18.318121
29 66.128182 26.333445 17.365940
30 66.128182 20.240356 18.409255
31 66.128182 24.294984 17.590135
32 66.128182 22.354810 18.509445
33 66.128182 19.821101 19.342475
34 74.923649 18.273390 18.924394
35 74.923649 19.534801 20.848099
36 74.923649 22.985006 18.970288
37 80.672214 22.409283 19.797954
38 80.672214 21.976194 20.297521
39 80.672214 21.239614 19.143650
40 80.672214 21.337198 20.011919
41 80.672214 18.862211 18.605316
42 80.672214 19.302206 19.220962
43 80.672214 23.165128 21.794793
44 80.672214 26.070720 21.853027
45 80.672214 22.674951 21.847840
46 80.672214 22.028775 20.931397
47 80.672214 27.660793 20.710790
48 80.672214 26.647472 19.972649
49 80.672214 19.118717 22.383410
50 80.672214 19.431953 20.339687
51 80.672214 23.440337 20.889845
52 80.672214 17.253516 20.466169
53 80.672214 21.480232 20.069524
54 80.672214 22.093737 21.274243
55 80.672214 14.038037 20.655821
56 80.672214 23.372301 19.659610
57 80.672214 26.226707 18.882510
58 80.672214 20.007220 21.587864
59 80.672214 17.932483 21.130013
60 80.672214 25.212129 20.148692
61 80.672214 23.896904 20.130552
62 80.672214 22.184536 21.363768
63 80.672214 17.808381 21.883413
64 80.672214 19.942716 20.051649
65 80.672214 23.032985 19.627946
66 80.672214 26.113580 17.318417
67 80.672214 21.564490 20.653114
68 80.672214 28.047196 20.810383
69 80.672214 24.036775 20.361667
70 80.672214 25.385574 20.738374
71 80.672214 24.855911 18.993814
72 80.672214 22.710806 20.790431
73 80.672214 23.862441 21.114557
74 80.672214 24.176248 20.186361
75 80.672214 22.539029 21.644741
76 86.850999 21.656865 22.670806
77 86.850999 21.002006 21.465892
78 86.850999 25.321367 20.900851
79 86.850999 19.236763 21.578726
80 86.850999 21.877417 19.809610
81 86.850999 24.255257 19.832044
82 86.850999 27.861556 19.944306
83 86.850999 21.839017 20.302565
84 86.850999 22.191561 20.642070
85 86.850999 24.293545 20.578976
86 86.850999 25.407324 21.224419
87 86.850999 20.434622 22.412550
88 87.128613 21.129731 22.256166
89 87.128613 27.610279 20.215553
90 87.128613 17.891871 21.241267
91 87.128613 21.395400 19.312177
92 87.128613 23.422488 21.527689
93 87.128613 22.865159 20.733102
94 87.128613 27.027605 22.075326
95 87.128613 22.311807 22.697966
96 87.128613 22.338579 23.564318
97 87.128613 23.665830 22.302431
98 87.128613 25.990120 20.630465
99 87.128613 21.683521 20.133492
