

gen best mean std
0 24.991918 -4.227862 6.334188
1 24.991918 -0.598735 8.732234
2 25.124613 5.15344 10.811999
3 25.218708 13.004371 8.562046
4 33.306076 18.897879 7.491894
5 33.306076 24.57233 2.433038
6 35.2488 25.301348 1.530976
7 35.2488 25.449769 1.817762
8 35.2488 25.497674 1.851225
9 35.2488 25.401127 2.111509
10 35.2488 25.358593 2.494294
11 35.2488 25.613274 2.781193
12 35.2488 25.62262 3.293547
13 35.2488 26.034162 3.244991
14 37.629006 26.877034 3.129225
15 37.629006 27.224302 3.594877
16 37.629006 27.705734 3.657265
17 37.629006 27.830004 3.626533
18 37.629006 28.08769 3.734929
19 37.629006 28.663337 4.094233
20 42.654729 29.432321 4.257182
21 42.654729 29.786893 4.283359
22 42.654729 30.249112 4.263994
23 42.654729 30.581552 4.436591
24 42.654729 31.021645 4.669417
25 42.654729 31.238845 4.738242
26 42.654729 31.361859 4.817794
27 42.654729 31.913805 4.689396
28 42.654729 32.35479 4.819186
29 42.654729 32.949912 4.512234
30 42.654729 33.396798 4.026609
31 49.147735 33.88173 4.146199
32 49.147735 34.72772 3.526948
33 49.147735 34.774326 4.086918
34 49.147735 35.203938 3.826188
35 49.147735 35.035496 4.340302
36 49.147735 35.526765 4.059981
37 54.431847 35.774376 4.523155
38 54.431847 35.680193 4.861683
39 54.431847 36.346571 4.353111
40 54.431847 36.843595 3.973082
41 54.431847 37.366613 4.12109
42 54.431847 37.423625 4.02161
43 54.431847 37.377601 4.349295
44 54.431847 37.131012 4.735436
45 54.431847 37.63434 4.218054
46 54.431847 37.665948 4.15745
47 54.431847 37.647562 4.294658
48 54.431847 37.43006 4.863298
49 54.431847 37.461855 4.828031
50 54.431847 37.603916 4.984214
51 54.431847 37.845794 4.942771
52 54.431847 37.710095 4.970607
53 54.431847 37.852549 4.841385
54 54.431847 37.589361 5.326639
55 54.431847 37.656637 5.161723
56 54.431847 38.079815 4.777811
57 54.431847 37.961403 4.926502
58 54.431847 38.455102 4.227239
59 54.431847 38.314297 4.610149
60 54.431847 38.475424 4.439759
61 54.921161 38.481878 4.964819
62 54.921161 38.976643 4.654286
63 54.921161 38.838 5.010856
64 54.921161 38.485685 5.547414
65 54.921161 38.577371 5.514577
66 54.921161 38.605253 5.453125
67 54.921161 38.716892 5.291014
68 54.921161 38.611016 5.568677
69 54.921161 38.556202 5.588865
70 54.921161 38.752516 5.338451
71 54.921161 39.170461 4.968943
72 54.921161 39.362347 4.710962
73 54.921161 39.215482 4.984195
74 54.921161 39.813747 4.304173
75 54.921161 39.447789 4.839636
76 54.921161 39.767808 4.41562
77 54.921161 39.728481 4.810931
78 54.921161 39.743798 4.780252
79 54.921161 40.088788 4.570378
80 54.921161 39.887484 5.019909
81 54.921161 40.079028 4.791883
82 54.921161 39.916874 5.169821
83 54.921161 40.045989 4.878999
84 57.042358 40.176225 5.447066
85 57.042358 40.143077 5.640245
86 57.042358 39.552752 6.262356
87 72.051468 39.907387 6.99676
88 72.051468 40.442099 6.679974
89 72.051468 40.602445 6.284526
90 72.051468 40.900258 6.272686
91 72.051468 40.754828 6.618798
92 72.051468 41.003176 6.455139
93 72.051468 41.06092 6.486001
94 72.051468 41.149522 6.310081
95 72.051468 40.961952 6.594559
96 72.051468 41.098128 6.756741
97 72.051468 41.624268 6.441437
98 72.051468 41.753109 6.794304
99 72.051468 41.479216 7.172324

gen best mean std
99 72.051468 41.479216 7.172324

gen best mean std
99 72.051468 41.479216 7.172324
