gen best mean std
0 23.203926 -4.234142 5.929049
1 25.016415 -1.548017 8.140351
2 25.016415 1.314901 8.836060
3 40.484529 5.009356 11.429979
4 40.484529 8.500207 12.399934
5 40.484529 9.330702 13.145902
6 40.484529 12.683132 13.402174
7 40.484529 9.017282 13.906309
8 40.631058 13.977464 14.474078
9 40.631058 11.576736 13.973306
10 40.631058 13.386423 13.903412
11 40.631058 15.890774 12.101049
12 42.351071 15.818875 12.832570
13 43.382862 16.368353 14.094077
14 43.382862 14.273474 16.100195
15 46.516491 16.140397 14.324729
16 49.293696 19.602901 14.694413
17 53.520852 20.347548 16.678949
18 79.166109 17.653888 18.363344
19 79.166109 19.378516 16.543282
20 79.166109 21.128812 17.792921
21 79.166109 16.664260 18.660818
22 79.166109 17.302080 20.857562
23 79.166109 22.679005 17.979243
24 79.166109 16.511925 18.666584
25 79.166109 18.900284 19.041929
26 79.166109 18.584545 17.885587
27 79.166109 19.293348 20.577620
28 79.166109 20.101862 19.845943
29 79.166109 19.598474 21.432657
30 79.166109 15.934821 18.712259
31 79.166109 18.071044 18.666530
32 79.166109 18.199886 20.256182
33 79.166109 19.825116 19.808127
34 79.166109 19.027809 20.724000
35 79.166109 16.096285 19.652472
36 79.166109 17.974120 19.084174
37 79.166109 19.534361 18.577249
38 79.166109 17.543983 20.272337
39 79.166109 16.120570 17.826689
40 79.166109 13.395830 17.928876
41 79.166109 18.429707 19.263604
42 79.166109 16.934907 19.203596
43 79.166109 24.584661 16.533257
44 79.166109 16.517295 18.120643
45 79.166109 18.119192 18.812329
46 79.166109 14.779572 18.783638
47 79.166109 14.797273 18.533574
48 79.166109 15.813369 18.931244
49 79.166109 19.544375 19.607065
50 79.166109 20.373492 19.021106
51 79.166109 20.696127 17.860220
52 79.166109 21.117254 19.443394
53 79.166109 19.115084 20.225897
54 79.166109 21.295295 18.152852
55 79.166109 22.824819 19.204072
56 79.166109 22.636228 19.081121
57 79.166109 22.109838 18.460254
58 79.166109 21.467118 18.299273
59 79.166109 19.015273 19.600971
60 79.166109 18.905773 19.285808
61 79.166109 18.375405 19.045095
62 79.166109 16.702383 17.987872
63 79.166109 19.762180 20.224126
64 80.093427 18.157639 19.838109
65 80.093427 20.774557 19.520124
66 80.093427 19.875331 19.227601
67 80.093427 22.630180 17.833495
68 80.093427 23.774154 20.184983
69 80.093427 24.757597 19.843007
70 80.093427 19.219457 21.447022
71 80.093427 22.039541 18.979860
72 80.093427 23.513900 17.838095
73 88.361228 24.721270 20.897287
74 88.361228 21.211614 19.423572
75 88.361228 21.103618 20.046546
76 88.361228 22.923438 20.961863
77 88.361228 21.825773 19.878995
78 88.361228 19.436600 19.765765
79 88.361228 21.974096 20.529934
80 88.361228 19.553884 20.283838
81 88.361228 22.888498 21.460380
82 88.361228 19.831726 19.650860
83 88.361228 16.192685 20.968909
84 88.361228 18.002578 20.973073
85 88.361228 21.666980 19.155922
86 88.361228 27.487855 18.763108
87 88.361228 23.444873 20.317323
88 88.361228 20.374622 18.903478
89 88.361228 20.215485 20.006907
90 88.361228 22.898093 19.266119
91 88.361228 21.414829 21.841506
92 88.361228 21.097325 19.621286
93 88.361228 20.576424 19.178896
94 88.361228 18.558753 21.412204
95 88.361228 18.532724 20.813494
96 88.361228 23.817815 20.593681
97 88.361228 19.923521 20.489700
98 88.361228 22.651445 21.999203
99 88.361228 26.481404 21.193368
