gen best mean std
0 14.923629 -4.681482 5.494946
1 31.226887 -0.395566 8.885164
2 31.226887 3.260437 11.454586
3 35.307584 4.716816 12.641469
4 35.307584 10.138027 12.679508
5 39.255568 9.847386 13.807524
6 39.255568 10.538767 14.181413
7 39.255568 14.306749 12.758297
8 39.255568 12.390146 14.449802
9 49.653903 13.501272 14.812518
10 49.653903 14.815095 15.702862
11 49.653903 14.549017 15.312436
12 50.911135 14.809189 16.104826
13 50.911135 15.760002 15.790793
14 50.911135 14.417395 15.514922
15 50.911135 15.717726 16.000813
16 64.555248 16.063680 14.675853
17 64.555248 17.574526 15.465864
18 64.555248 15.696441 15.599995
19 64.555248 14.260115 16.948617
20 64.555248 17.375349 15.762098
21 64.555248 15.906225 16.072583
22 64.555248 15.960592 16.552910
23 64.555248 16.517068 17.280226
24 64.555248 16.301247 16.136397
25 64.555248 16.758082 16.726195
26 64.555248 15.098622 15.385664
27 64.555248 14.042632 16.941110
28 64.555248 13.992887 16.560501
29 64.555248 14.872556 17.160465
30 64.555248 15.474981 17.549233
31 64.555248 14.576027 17.033564
32 64.555248 12.911799 16.654110
33 64.555248 12.751677 17.167129
34 64.555248 14.883437 15.853300
35 64.555248 14.663411 16.002749
36 64.555248 16.811123 15.148273
37 64.555248 16.780588 15.049148
38 64.555248 15.613793 15.246216
39 64.555248 14.511184 16.474409
40 64.555248 12.959574 16.773065
41 67.364457 15.890114 17.000813
42 67.364457 15.290962 17.656497
43 67.364457 16.811846 17.711242
44 67.364457 15.521484 17.556184
45 67.364457 14.255653 17.903718
46 67.364457 18.764013 18.470086
47 67.364457 16.161865 18.601622
48 67.364457 16.476417 17.612384
49 67.364457 15.827159 18.582683
50 67.364457 15.666911 18.245745
51 67.364457 13.473849 18.529605
52 67.364457 15.262660 17.232840
53 67.364457 17.105553 17.479614
54 67.364457 15.437106 17.953992
55 67.364457 15.686068 18.236229
56 67.364457 17.330614 17.535383
57 67.364457 14.871648 18.837364
58 67.364457 13.521214 17.716306
59 67.364457 13.671583 18.717915
60 67.364457 12.418593 16.990916
61 67.364457 16.477293 18.556509
62 67.364457 13.255960 18.680544
63 67.364457 11.753337 18.590978
64 67.364457 13.602496 18.141579
65 67.364457 14.489144 18.503591
66 67.364457 15.336709 18.511765
67 67.364457 16.012262 16.839315
68 67.364457 15.957482 16.985663
69 67.364457 16.572451 17.155004
70 67.364457 15.697216 18.427432
71 67.364457 12.227002 17.367932
72 67.364457 12.431239 16.953628
73 67.364457 14.769686 17.561356
74 67.364457 14.578348 16.524598
75 67.364457 14.193050 18.145446
76 67.364457 14.623414 16.207017
77 67.364457 11.240413 17.013310
78 67.364457 16.919015 16.939429
79 67.364457 13.810531 18.249830
80 67.364457 17.317456 17.663387
81 67.364457 15.775598 16.978186
82 87.028799 14.732683 19.196317
83 87.028799 19.557263 18.965562
84 87.028799 16.745223 19.501671
85 87.028799 14.565887 19.916739
86 87.028799 15.737895 19.597806
87 87.028799 16.172404 19.088922
88 87.028799 14.945114 18.951969
89 87.028799 14.789382 18.008808
90 87.028799 19.193058 18.806563
91 87.028799 17.350472 19.635079
92 87.028799 17.327438 19.888431
93 87.028799 18.612525 20.003860
94 87.028799 19.246310 19.351050
95 87.028799 17.682877 17.658953
96 87.028799 14.754686 20.027460
97 87.028799 15.823803 18.928356
98 87.028799 17.239460 19.423736
99 87.028799 16.136324 19.219754
