

gen best mean std
0 24.991918 -2.770793 7.730141
1 32.323815 3.043643 10.317393
2 32.323815 9.565098 9.457159
3 32.323815 15.07328 7.586224
4 32.323815 20.557847 6.127703
5 32.323815 24.709876 2.887263
6 32.613327 25.242128 2.451411
7 32.613327 25.536523 1.69746
8 36.140047 25.819667 2.035629
9 36.140047 26.157737 2.427913
10 37.487864 26.349877 2.699668
11 37.487864 26.394757 2.706863
12 37.487864 26.302162 3.40501
13 37.560442 27.033011 3.267522
14 37.806696 27.304255 3.741021
15 37.806696 27.934202 3.813722
16 37.806696 28.429489 3.980052
17 40.525931 29.20444 4.144841
18 40.525931 29.440496 4.141941
19 40.525931 30.111508 4.205649
20 48.969647 30.786833 4.587766
21 48.969647 31.177743 4.744088
22 48.969647 31.726081 4.761987
23 48.969647 32.005237 4.702965
24 48.969647 32.537503 4.542619
25 48.969647 32.977951 4.593558
26 48.969647 33.380648 4.589167
27 48.969647 33.784436 4.248448
28 48.969647 33.824898 4.333554
29 48.969647 34.352779 4.347159
30 48.969647 35.45002 4.072607
31 48.969647 35.61037 4.434067
32 48.969647 36.124908 4.034451
33 48.969647 35.949113 4.493666
34 48.969647 36.169671 4.312428
35 48.969647 36.131737 4.473209
36 48.969647 36.382468 4.767412
37 48.969647 36.729351 4.63923
38 48.969647 36.920749 4.403047
39 48.969647 37.111186 4.389241
40 48.969647 37.128897 4.532771
41 49.013287 37.831438 3.917178
42 49.013287 38.135219 4.001869
43 49.013287 38.249252 3.930335
44 49.880853 38.174151 4.414665
45 49.880853 37.806963 4.956114
46 55.048717 38.418447 4.784754
47 67.786079 38.547223 6.021439
48 67.786079 38.808107 5.898178
49 67.786079 38.811136 5.930198
50 67.786079 39.267638 5.592005
51 67.786079 39.55474 5.335178
52 67.786079 39.592953 5.534561
53 67.786079 39.011833 6.16244
54 67.786079 39.318075 6.0516
55 67.786079 39.851437 5.810698
56 67.786079 40.546832 5.598453
57 67.786079 40.479032 6.147816
58 67.786079 40.659667 6.507208
59 67.786079 41.279484 5.950919
60 78.90701 41.698894 7.268959
61 78.90701 41.913796 7.496746
62 78.90701 42.203193 7.465283
63 78.90701 42.425962 7.11417
64 78.90701 42.667706 7.178956
65 78.90701 43.297486 7.251199
66 78.90701 44.119901 7.206583
67 78.90701 43.803251 7.742454
68 78.90701 44.472152 7.551892
69 78.90701 44.544601 7.663516
70 78.90701 45.179786 7.979252
71 78.90701 45.073133 9.275793
72 78.90701 46.12621 9.256278
73 78.90701 46.453945 9.061068
74 78.90701 47.020802 8.67974
75 78.90701 47.108975 8.904309
76 78.90701 47.187672 8.838441
77 78.90701 47.490414 8.831773
78 78.90701 48.384085 8.576665
79 78.90701 48.563799 8.846632
80 78.90701 49.334764 8.195529
81 78.90701 49.560182 8.708824
82 78.90701 50.189661 8.120945
83 78.90701 50.302746 8.254202
84 78.90701 50.89704 8.193236
85 78.90701 50.559466 8.818725
86 78.90701 51.103727 8.492295
87 78.90701 51.203336 8.617887
88 78.90701 50.971937 9.272174
89 78.90701 51.312464 8.881059
90 78.90701 52.184116 8.353086
91 78.90701 53.135937 7.669749
92 78.90701 53.842465 8.0663
93 78.90701 53.627094 8.38631
94 78.90701 53.593527 8.665685
95 78.90701 53.503441 9.071734
96 78.90701 53.694321 8.917691
97 78.90701 53.916051 8.49665
98 78.90701 52.979976 9.932901
99 78.90701 53.301758 9.580113

gen best mean std
99 78.90701 53.301758 9.580113

gen best mean std
99 78.90701 53.301758 9.580113
