

gen best mean std
0 14.221025 -5.386654 4.716149
1 14.221025 -3.303963 4.686682
2 24.326922 -1.366559 5.915188
3 24.326922 0.697216 6.150118
4 24.326922 4.893463 7.076936
5 30.666255 9.317844 6.507778
6 30.666255 13.482879 4.41241
7 30.666255 15.354101 3.317717
8 30.666255 15.737092 3.413061
9 31.158874 16.65244 4.055063
10 31.158874 17.247531 4.560899
11 44.339273 17.981505 5.426707
12 44.339273 18.816944 5.482129
13 44.339273 19.697008 5.476364
14 44.339273 20.596705 5.547217
15 44.339273 21.361085 5.899499
16 44.339273 21.891214 5.727472
17 44.339273 23.667525 5.569498
18 44.339273 24.198814 5.623567
19 44.339273 25.093218 5.080059
20 44.339273 25.864892 4.874195
21 44.339273 26.518737 4.864981
22 44.339273 27.595144 4.658393
23 44.339273 27.778377 5.133221
24 44.339273 27.910109 5.237181
25 44.339273 28.643023 4.46258
26 44.339273 29.425101 3.844844
27 44.339273 29.526638 4.014568
28 44.339273 29.662266 4.424232
29 44.339273 30.294825 3.990947
30 44.339273 30.084769 4.780374
31 44.339273 30.26273 4.415215
32 44.339273 30.663899 4.021928
33 44.339273 31.09288 3.708348
34 44.339273 31.290524 4.110781
35 44.339273 31.058134 4.720076
36 44.339273 31.173635 4.527281
37 44.339273 31.019922 5.380207
38 44.339273 31.51886 4.98536
39 44.339273 31.461077 5.359916
40 44.339273 31.435376 5.369446
41 44.339273 31.754845 4.626233
42 44.339273 31.713891 4.810253
43 44.339273 32.046147 4.460212
44 44.339273 32.106322 4.590548
45 44.339273 32.198081 4.719048
46 44.339273 31.873121 5.364214
47 44.339273 31.727299 5.729503
48 44.339273 31.335407 5.955195
49 44.339273 31.621355 5.447137
50 48.285597 31.97125 5.695253
51 48.285597 31.998128 5.660516
52 48.285597 32.343162 5.458841
53 48.285597 32.357316 5.48554
54 48.285597 32.343582 5.550808
55 48.285597 32.154616 6.154039
56 48.285597 32.534067 5.630746
57 48.285597 32.407851 5.8184
58 48.285597 32.541365 6.107544
59 48.285597 32.642248 5.787849
60 48.285597 32.487273 6.001795
61 48.285597 32.624217 6.006094
62 48.285597 32.697528 6.184946
63 48.285597 33.451225 5.127576
64 48.285597 33.433381 5.251885
65 48.285597 33.596717 5.039066
66 48.285597 33.583829 4.962899
67 48.285597 33.60517 4.974624
68 48.285597 33.402581 5.605453
69 48.285597 32.555908 6.788288
70 48.285597 33.366727 5.450172
71 49.300461 34.212127 5.088161
72 49.300461 33.985245 5.549082
73 49.300461 33.794807 6.001305
74 49.300461 33.99003 5.519102
75 49.300461 33.710844 6.148053
76 49.300461 33.84837 5.837342
77 49.300461 33.982126 5.615352
78 49.300461 34.031147 5.536265
79 49.300461 33.899751 5.616002
80 49.300461 34.110902 5.525793
81 49.300461 34.221564 5.400458
82 49.300461 33.761454 6.480803
83 49.300461 33.913127 6.571878
84 49.300461 34.425603 5.90426
85 49.300461 34.539418 5.901078
86 49.300461 34.919245 5.47108
87 49.300461 34.569748 6.177998
88 49.300461 34.706751 5.784323
89 49.300461 34.793669 5.674775
90 49.300461 33.996684 7.359758
91 49.300461 34.407844 6.324985
92 49.300461 34.061755 6.637183
93 49.300461 34.609348 5.915975
94 49.300461 34.595944 6.172421
95 49.300461 34.791685 5.764888
96 49.300461 34.620224 6.211438
97 49.300461 34.681839 6.286928
98 49.300461 34.994478 5.923289
99 49.300461 35.104731 5.955469

gen best mean std
99 49.300461 35.104731 5.955469

gen best mean std
99 49.300461 35.104731 5.955469
