gen best mean std
0 24.987324 -3.122945 7.480755
1 27.672890 2.246105 10.519928
2 33.435802 7.120290 11.642265
3 43.246146 8.737767 13.286649
4 43.246146 9.016289 13.807123
5 59.890470 9.608019 14.427030
6 59.890470 11.307366 15.935719
7 59.890470 11.461195 15.634398
8 59.890470 13.984709 15.372221
9 59.890470 11.778723 17.010749
10 59.890470 11.916387 17.136525
11 59.890470 14.829280 17.110394
12 59.890470 14.668987 17.157777
13 59.890470 13.967365 18.361330
14 59.890470 16.519596 18.429244
15 59.890470 15.241905 19.387302
16 59.890470 13.173888 18.369238
17 59.890470 17.740720 20.226141
18 59.890470 15.783089 19.439143
19 59.890470 14.660888 19.366780
20 59.890470 14.937007 18.826408
21 59.890470 16.318656 18.825339
22 59.890470 16.164116 18.475405
23 59.890470 16.498912 19.272065
24 59.890470 13.920304 19.581087
25 59.890470 15.094704 19.641019
26 59.890470 18.196411 20.029524
27 59.890470 16.105774 18.800904
28 74.765925 16.065704 20.499085
29 74.765925 14.390640 20.436087
30 74.765925 16.525346 20.436197
31 74.765925 15.915270 20.068183
32 74.765925 15.942447 20.365917
33 74.765925 17.416740 19.062046
34 74.765925 17.943754 19.242128
35 74.765925 13.075096 21.331712
36 74.765925 15.889366 18.358436
37 74.765925 17.261201 19.420522
38 74.765925 14.317854 20.201589
39 74.765925 17.077559 19.304360
40 74.765925 12.208725 20.226210
41 74.765925 14.091752 20.255682
42 74.765925 14.084043 19.275650
43 74.765925 15.464170 20.140138
44 74.765925 19.616172 20.218794
45 74.765925 18.208464 21.656948
46 74.765925 14.440332 21.236261
47 74.765925 19.027463 20.357723
48 74.765925 15.805791 21.826011
49 74.765925 17.135762 20.021903
50 74.765925 20.964434 20.253405
51 74.765925 19.464152 20.379013
52 74.765925 18.329509 20.090911
53 74.765925 16.654385 21.613559
54 74.765925 17.130339 20.806103
55 74.765925 17.488022 18.656852
56 74.765925 15.807259 18.323252
57 79.873015 18.293979 20.476339
58 79.873015 16.212295 19.583536
59 79.873015 19.004917 20.594726
60 79.873015 18.878108 20.443120
61 79.873015 17.280150 21.509737
62 79.873015 16.231028 20.567212
63 79.873015 14.442470 19.803375
64 79.873015 20.464036 19.344335
65 79.873015 20.023305 19.505047
66 79.873015 19.786171 20.779242
67 79.873015 18.774378 21.466580
68 79.873015 18.432959 20.876739
69 79.873015 20.450994 19.773447
70 79.873015 22.853114 19.804813
71 79.873015 19.787423 22.350753
72 79.873015 18.490122 21.316551
73 79.886244 22.565697 21.657736
74 79.886244 20.373381 21.344475
75 79.886244 18.857202 19.517520
76 79.886244 18.555821 20.144735
77 79.886244 24.469499 20.210766
78 79.886244 20.899019 20.921116
79 79.886244 20.571647 20.249129
80 79.886244 23.037448 19.332554
81 79.886244 18.555761 18.845421
82 79.886244 22.591385 20.320260
83 79.886244 17.031057 19.666823
84 79.886244 17.850271 20.228492
85 79.886244 18.000996 21.045404
86 79.886244 19.671849 20.531539
87 79.886244 19.514064 19.354181
88 79.886244 26.091842 19.247224
89 79.886244 21.419868 19.902996
90 79.886244 22.812963 19.361465
91 79.886244 18.745368 20.492175
92 79.886244 21.239431 20.127602
93 79.886244 22.599606 19.528965
94 79.886244 22.783197 18.486075
95 79.886244 26.352411 18.150873
96 79.886244 22.660090 19.817481
97 80.130134 23.364744 21.493919
98 80.130134 22.908378 20.336066
99 80.130134 24.764402 18.980961
