gen best mean std
0 30.197853 -4.003754 6.392610
1 30.197853 0.268601 9.000352
2 30.197853 1.642959 10.836788
3 30.197853 4.682057 10.009514
4 38.756278 6.144622 11.773612
5 40.517700 6.748030 13.419067
6 42.225324 11.664779 14.336923
7 49.047010 13.299396 13.416214
8 49.047010 14.713061 14.648883
9 54.558278 17.197792 14.365277
10 54.558278 14.543958 14.359136
11 54.558278 13.275621 15.220905
12 54.558278 14.627209 15.056094
13 54.558278 14.575169 14.573507
14 60.884424 15.367088 15.295741
15 60.884424 15.488088 14.626351
16 60.884424 14.862804 17.172391
17 60.884424 17.257011 15.228362
18 60.884424 16.190409 15.926119
19 62.569825 17.770291 16.316448
20 62.569825 11.654785 17.986429
21 62.569825 14.313128 16.196578
22 62.569825 18.196738 16.126475
23 62.569825 15.256320 16.315799
24 62.569825 17.801839 16.471055
25 62.569825 17.764679 16.644486
26 64.357082 21.990717 17.106391
27 64.357082 14.199972 18.564137
28 64.357082 13.551617 18.352982
29 64.357082 15.981169 16.462187
30 64.357082 14.174956 17.648215
31 64.357082 19.130347 15.071326
32 64.357082 18.856245 17.639080
33 64.357082 13.705549 17.010017
34 64.357082 18.817104 17.538765
35 79.269893 16.824378 17.035789
36 79.269893 12.273718 18.757205
37 79.269893 14.549172 16.769623
38 79.269893 15.539482 18.785106
39 79.269893 15.370486 17.605006
40 79.269893 12.506418 17.757589
41 79.269893 13.960797 18.956336
42 79.269893 13.467353 17.744781
43 79.269893 11.944872 17.616383
44 79.269893 13.988463 17.930296
45 79.269893 13.153554 17.848859
46 79.269893 13.844789 17.408061
47 79.269893 14.861788 17.421813
48 79.269893 18.218588 18.756374
49 79.269893 15.688213 16.977109
50 79.269893 10.121818 16.207940
51 79.269893 14.813981 18.392462
52 79.269893 15.099556 16.473306
53 79.269893 17.438852 16.606593
54 79.269893 12.859489 16.766901
55 79.269893 14.554118 16.722283
56 79.269893 13.446635 17.382090
57 79.269893 12.250868 16.628790
58 79.269893 16.097226 17.079429
59 79.269893 15.020267 17.861229
60 79.269893 13.344939 19.586594
61 79.269893 14.773183 17.488269
62 79.269893 15.406651 17.411620
63 79.269893 13.005336 17.926095
64 79.269893 12.574457 17.808666
65 79.269893 15.867704 17.944749
66 79.269893 16.752402 17.678640
67 79.269893 22.126090 18.006320
68 79.269893 15.440116 18.205111
69 79.269893 16.046730 17.889363
70 79.269893 14.855859 17.293029
71 79.269893 14.736105 18.882948
72 79.269893 19.738923 17.239520
73 79.269893 15.512189 17.099124
74 79.269893 16.478188 17.566995
75 79.269893 15.070495 17.655364
76 79.269893 13.037698 17.038231
77 79.269893 13.667195 19.193596
78 79.269893 17.381241 18.962600
79 79.269893 18.404708 17.860638
80 79.269893 14.554293 17.072211
81 80.536807 16.546624 18.033812
82 80.536807 14.861511 18.043973
83 80.536807 12.723131 18.020901
84 80.536807 16.356479 17.928419
85 80.536807 18.475825 18.734424
86 80.536807 15.055665 17.993792
87 80.536807 14.093594 18.316655
88 80.536807 17.545700 16.954132
89 80.536807 16.284864 18.210698
90 80.536807 13.632965 18.018322
91 80.536807 16.424469 15.048337
92 80.536807 15.723305 18.597853
93 80.536807 13.829305 20.165834
94 80.536807 18.322306 16.971042
95 80.536807 18.072992 18.392597
96 80.536807 17.178996 19.061328
97 80.536807 17.697582 19.255371
98 80.536807 17.870392 18.194949
99 80.536807 18.603104 18.836552
