gen best mean std
0 26.491035 -4.283536 6.569106
1 29.035066 0.229848 10.402403
2 38.543805 6.103029 13.450471
3 38.543805 8.628240 13.876317
4 53.764514 12.321682 15.029471
5 53.764514 13.549169 16.109474
6 53.764514 12.768377 15.997140
7 53.764514 13.155900 15.415316
8 53.764514 11.747227 15.607427
9 53.764514 9.844326 15.461692
10 53.764514 13.551181 15.897326
11 53.764514 13.724772 15.723103
12 53.764514 17.872391 14.576616
13 53.764514 15.695815 14.665577
14 53.764514 18.559052 13.830409
15 53.764514 14.627069 16.213049
16 53.764514 16.028955 14.713094
17 53.764514 15.152399 15.489490
18 53.764514 15.548910 14.833997
19 57.559069 15.601376 16.115463
20 57.559069 17.243337 16.673901
21 65.180990 15.186411 17.474108
22 65.180990 16.151804 15.256737
23 65.180990 18.597815 16.187939
24 65.180990 18.043651 17.120151
25 65.180990 18.550373 17.537543
26 70.101033 18.698025 18.902092
27 70.101033 17.371613 16.597915
28 70.101033 17.425955 16.948968
29 70.101033 16.457723 16.897053
30 70.101033 16.740414 17.825845
31 70.101033 16.514876 18.811879
32 70.101033 17.744428 19.377887
33 70.101033 16.446791 18.195619
34 74.534936 17.659158 19.254442
35 74.534936 20.791460 18.185168
36 74.534936 18.956323 18.613843
37 74.534936 20.142880 19.139746
38 74.534936 18.397906 18.587812
39 74.534936 16.156756 18.521687
40 74.534936 19.408503 18.873891
41 74.534936 18.244775 18.269081
42 74.534936 22.993906 19.345160
43 74.534936 20.372528 18.249515
44 74.534936 18.428663 18.564971
45 74.534936 22.213772 17.670049
46 74.534936 20.337483 18.124661
47 74.534936 21.287700 17.731336
48 74.534936 20.381933 18.605210
49 74.534936 19.865804 19.397277
50 74.981419 17.577269 19.900314
51 74.981419 19.725633 19.504420
52 74.981419 22.001429 19.723094
53 74.981419 21.952871 18.528651
54 74.981419 18.867141 20.585387
55 75.224656 19.743947 20.479914
56 75.224656 19.862813 19.458851
57 75.224656 16.200571 21.678221
58 75.224656 17.649336 20.655608
59 75.224656 20.291918 21.104838
60 75.224656 20.716521 19.708577
61 75.224656 19.760713 20.050579
62 75.224656 20.211179 22.500062
63 75.224656 25.414071 18.350589
64 75.224656 21.563532 19.170404
65 75.224656 25.390086 20.611010
66 75.224656 20.109586 20.438279
67 75.230053 21.039595 21.038948
68 75.230053 20.795117 21.556101
69 75.230053 25.988426 20.443465
70 75.230053 24.020747 21.598198
71 75.230053 21.392157 20.455278
72 75.230053 19.910597 20.245333
73 75.230053 23.264707 22.416168
74 75.230053 22.576077 22.874484
75 75.230053 21.710311 23.042622
76 75.230053 24.916539 22.244795
77 80.279495 28.036100 23.268829
78 80.279495 25.120131 22.182843
79 80.279495 21.863358 20.761708
80 80.279495 20.486219 21.306707
81 80.279495 21.988638 21.280847
82 80.279495 19.947321 21.351105
83 80.279495 21.404804 22.587007
84 80.279495 25.639072 23.218831
85 80.279495 22.179991 22.954700
86 80.279495 20.112836 20.149421
87 80.279495 21.697377 22.105098
88 80.279495 24.643283 21.402486
89 80.279495 27.171045 20.316478
90 80.279495 22.591921 21.421189
91 80.279495 22.495565 21.366461
92 80.279495 25.824315 23.295181
93 80.279495 18.770342 19.918186
94 80.279495 23.829967 23.095719
95 87.084752 24.427293 24.421214
96 87.084752 23.449112 23.903258
97 87.084752 24.534205 23.557556
98 87.084752 26.785877 20.937081
99 87.084752 22.247418 23.192389
