

gen best mean std
0 24.992162 -3.629075 5.776009
1 24.992162 -1.161173 7.569989
2 24.992162 2.370391 8.227071
3 34.441568 8.560267 8.145949
4 38.621494 14.014518 7.839466
5 38.621494 17.802241 7.165609
6 38.621494 20.983699 6.317096
7 38.621494 24.183761 3.994766
8 38.621494 25.303258 2.671312
9 38.621494 25.62198 2.285074
10 38.621494 25.703027 2.818864
11 43.25205 26.377861 3.49333
12 43.25205 26.515803 3.879519
13 43.25205 26.849616 4.058812
14 43.25205 26.936862 4.605217
15 43.25205 27.057431 4.691294
16 43.25205 27.224649 4.601956
17 43.25205 27.284159 4.442176
18 43.25205 27.672974 5.299991
19 43.25205 28.305368 4.667474
20 49.656161 29.049261 5.446169
21 49.656161 29.422652 5.393635
22 49.656161 29.855257 5.355227
23 49.656161 30.57254 5.876528
24 49.656161 31.304978 5.780615
25 49.656161 31.935601 6.094232
26 49.656161 32.321932 5.903808
27 49.656161 33.007598 5.986655
28 52.95988 33.675657 6.265763
29 52.95988 34.317744 6.079174
30 52.95988 35.01588 6.056664
31 52.95988 35.602331 6.254221
32 52.95988 36.224514 6.054492
33 52.95988 36.448736 6.05256
34 52.95988 36.968265 6.024992
35 52.95988 37.499353 5.639486
36 64.619821 38.337554 6.49677
37 64.619821 39.183755 6.223169
38 64.619821 39.592341 5.90456
39 64.619821 40.559902 5.861652
40 64.619821 40.785579 5.876169
41 64.619821 41.198081 6.228467
42 64.619821 41.700575 5.936761
43 64.619821 41.06798 7.204509
44 64.619821 41.758247 6.402441
45 67.804237 42.684003 7.009463
46 67.804237 43.189893 6.749874
47 67.804237 43.364729 6.673467
48 70.02801 44.256739 7.471938
49 70.02801 44.192732 7.982749
50 70.02801 43.798551 8.8455
51 70.02801 44.241834 8.869917
52 70.02801 45.258746 7.746978
53 70.02801 45.874632 7.214485
54 70.02801 45.925538 7.50445
55 70.02801 45.790419 7.734853
56 70.02801 45.509778 8.264349
57 70.02801 45.486901 8.955252
58 70.02801 46.651131 7.945437
59 70.02801 47.020293 7.870361
60 70.02801 46.825843 8.146647
61 70.02801 47.295282 8.029353
62 70.02801 47.245948 7.90514
63 70.02801 47.375603 8.049992
64 70.02801 46.855638 9.645875
65 70.02801 47.797274 8.612281
66 70.02801 47.985512 8.443228
67 70.02801 48.570381 7.974744
68 70.02801 49.043465 7.890952
69 70.02801 49.173085 7.999839
70 70.02801 48.943787 8.183335
71 70.02801 49.724878 7.383753
72 70.02801 49.560206 7.538526
73 70.02801 49.094243 8.144304
74 70.02801 48.782739 9.035933
75 70.02801 48.833764 8.396171
76 70.02801 49.371385 7.787389
77 70.02801 49.419261 8.021322
78 70.02801 49.879678 7.639521
79 70.02801 49.712361 8.132144
80 70.02801 49.57803 8.26114
81 70.02801 50.39027 8.33447
82 70.02801 49.697066 9.463592
83 70.02801 50.198288 8.496005
84 70.02801 50.005609 9.518116
85 70.02801 50.87072 8.152119
86 70.02801 50.847629 8.806901
87 70.02801 50.883929 9.11756
88 70.02801 50.805307 9.749939
89 70.02801 50.818361 9.548686
90 70.02801 51.234543 9.206559
91 70.124456 52.128927 8.552755
92 70.124456 52.032116 8.599607
93 70.124456 51.787169 9.022515
94 70.124456 51.832095 8.913687
95 70.124456 51.869512 9.227201
96 70.124456 52.222201 9.748531
97 70.124456 52.629353 8.995357
98 70.124456 52.782491 9.089727
99 70.124456 53.481184 8.633464

gen best mean std
99 70.124456 53.481184 8.633464

gen best mean std
99 70.124456 53.481184 8.633464
