

gen best mean std
0 33.874361 -3.014394 7.944243
1 40.425525 -0.165541 9.185427
2 40.425525 4.315227 10.774637
3 40.425525 10.472308 10.174141
4 40.425525 17.034188 8.570319
5 52.610889 22.547138 7.342016
6 52.610889 26.179172 4.154877
7 52.610889 26.778994 4.796292
8 52.610889 27.213277 5.002882
9 57.002463 27.600115 6.787211
10 57.002463 28.33263 6.88529
11 57.002463 28.862026 6.408271
12 57.002463 28.94668 6.674929
13 57.002463 30.312311 7.010904
14 58.740501 31.429864 7.559954
15 58.740501 32.461471 7.574376
16 59.13558 33.821255 7.833605
17 59.13558 34.904587 7.413823
18 59.13558 36.18938 7.759285
19 59.13558 37.079664 7.471596
20 59.665248 38.708003 7.891153
21 64.443254 39.780534 8.05402
22 64.443254 40.767502 8.34261
23 64.443254 42.281117 8.315772
24 74.591159 44.212862 8.733975
25 74.591159 44.735343 8.707171
26 74.591159 45.747882 8.735759
27 74.591159 46.303901 8.841704
28 74.591159 47.405285 8.230582
29 74.591159 47.851972 8.729798
30 74.591159 48.386367 9.114383
31 74.591159 49.508767 8.734651
32 74.591159 49.759516 9.118959
33 74.591159 50.621524 8.681545
34 74.591159 50.920209 9.445598
35 74.591159 52.109971 8.535364
36 74.591159 52.251343 8.940323
37 75.095973 53.135224 9.285126
38 75.095973 53.337819 9.082276
39 75.095973 53.322652 9.070432
40 75.095973 53.427368 9.414042
41 75.095973 52.995428 10.040706
42 75.095973 53.464163 10.093007
43 75.095973 54.345714 9.014857
44 75.095973 54.284413 9.707681
45 75.095973 53.604892 10.426868
46 75.095973 54.212318 9.894594
47 75.095973 53.547868 11.281688
48 75.095973 54.350454 10.458937
49 75.095973 54.375462 10.597654
50 75.095973 54.422531 10.479756
51 75.095973 55.094553 10.236135
52 75.095973 55.504695 10.096765
53 75.095973 55.452736 10.620779
54 75.095973 54.536208 12.125373
55 75.095973 55.958371 11.175055
56 79.034393 57.360182 9.910184
57 79.034393 57.175124 10.608237
58 79.034393 57.507938 10.149907
59 79.034393 57.139893 10.525834
60 79.034393 57.196907 11.134368
61 79.034393 55.629401 13.131224
62 79.034393 56.305919 12.203684
63 79.034393 56.844542 12.040447
64 79.034393 58.317581 11.21114
65 79.034393 58.236712 11.082302
66 79.034393 59.465157 9.933073
67 79.034393 58.648619 11.021962
68 79.034393 58.154442 11.663461
69 79.034393 58.950469 10.791914
70 79.034393 59.573062 10.505411
71 79.034393 59.888864 10.509501
72 79.034393 58.764352 11.867999
73 79.034393 58.184819 12.56735
74 79.034393 58.620254 12.372569
75 79.034393 59.361515 12.0038
76 79.462533 60.478118 10.919998
77 79.462533 60.676823 11.38251
78 79.462533 60.456024 11.355001
79 79.462533 59.946434 12.470139
80 79.462533 60.938686 11.312848
81 79.462533 61.306095 11.076653
82 79.462533 61.850479 11.053868
83 80.035717 61.924096 11.137822
84 80.035717 61.746861 11.184076
85 80.035717 62.663898 10.685217
86 80.035717 61.896891 12.263171
87 80.035717 62.094335 11.928115
88 80.035717 62.532854 11.101594
89 80.035717 61.875426 11.878094
90 80.035717 61.946828 12.440477
91 80.035717 62.873262 11.194835
92 80.035717 63.388095 10.353076
93 80.035717 62.367507 12.098208
94 80.035717 63.368583 11.111825
95 80.035717 63.216879 11.154495
96 80.035717 63.324353 11.058064
97 80.035717 63.978626 10.369239
98 80.035717 65.132649 8.83162
99 80.035717 64.048609 11.096807

gen best mean std
99 80.035717 64.048609 11.096807

gen best mean std
99 80.035717 64.048609 11.096807
